Address,Tokens Transaction,Ether Transaction
0x1ba82dc81331e56554a2a0fca09011ca774fa8e9,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0xbd23497f0bff23fbeea70cd14d923ed08c5e480f,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x78a60dbdbb8f80837fc910fc8f0bb2235ec2b6aa,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0xd8696bbd8ce60804f0fc9fdbb73b517e72855f2c,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0xafd5f60aa8eb4f488eaa0ef98c1c5b0645d9a0a0,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x5ad163d663db56fefdc292cefbff704f8d4aa4b6,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x2145ac607a1b97d28be117d06474b003dec986b4,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0xd0367288899cdd22e07f4078bec829c06ed24740,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x73d553e14b91e8d2da13747959bb6df95af41131,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0xe100f9b3ef8eae7c32baa1aba54083a1f41229fd,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x8cb1f920e437791a97443cc81b62476120d30e40,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x1fc550e98ad3021e32c47a84019f77a0792c60b7,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0xcdef60555f963729d7aa5363d04e46379a5722bb,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0xb2b36627af83fff76216eaec068ece65a1f3c5e8,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
